"Year","Commercial (mt)","Recreational1981-1999 (mt)","Recreational2000-2019 (mt)","Recreational2020-2023 (mt)","Total Catch (mt)"
1950,28,0,0,0,28
1951,31,0,0,0,31
1952,46,0,0,0,46
1953,44,0,0,0,44
1954,26,0,0,0,26
1955,37,0,0,0,37
1956,1,0,0,0,1
1957,28,0,0,0,28
1958,24,0,0,0,24
1959,32,0,0,0,32
1960,17,0,0,0,17
1961,37,0,0,0,37
1962,17,0,0,0,17
1963,24,0,0,0,24
1964,29,0,0,0,29
1965,24,0,0,0,24
1966,22,0,0,0,22
1967,41,0,0,0,41
1968,46,0,0,0,46
1969,45,0,0,0,45
1970,38,0,0,0,38
1971,62,0,0,0,62
1972,100,0,0,0,100
1973,159,0,0,0,159
1974,165,0,0,0,165
1975,47,0,0,0,47
1976,19,0,0,0,19
1977,10,0,0,0,10
1978,14,0,0,0,14
1979,34,0,0,0,34
1980,12,0,0,0,12
1981,12,2.84314,0,0,14.84314
1982,28,208.07,0,0,236.07
1983,27,92.609,0,0,119.609
1984,9,76.9415,0,0,85.9415
1985,2,43.0087,0,0,45.0087
1986,2,270.556,0,0,272.556
1987,1,98.7608,0,0,99.7608
1988,0,64.4423,0,0,64.4423
1989,2,153.047,0,0,155.047
1990,0,75.5756,0,0,75.5756
1991,0,158.209,0,0,158.209
1992,0,93.2644,0,0,93.2644
1993,0,314.127,0,0,314.127
1994,0,54.4153,0,0,54.4153
1995,0,136.043,0,0,136.043
1996,0,172.242,0,0,172.242
1997,0,189.46,0,0,189.46
1998,0,210.465,0,0,210.465
1999,0,456.175,0,0,456.175
2000,0,0,744.359,0,744.359
2001,0,0,826.511,0,826.511
2002,0,0,695.527,0,695.527
2003,0,0,873.29,0,873.29
2004,0,0,358.34,0,358.34
2005,0,0,520.903,0,520.903
2006,0,0,727.81,0,727.81
2007,0,0,773.186,0,773.186
2008,0,0,1022.89,0,1022.89
2009,0,0,1086.05,0,1086.05
2010,0,0,1614.59,0,1614.59
2011,0,0,1641.12,0,1641.12
2012,0,0,1473.28,0,1473.28
2013,0,0,1501.73,0,1501.73
2014,0,0,680.836,0,680.836
2015,0,0,1487.27,0,1487.27
2016,0,0,1571.26,0,1571.26
2017,0,0,1025.49,0,1025.49
2018,0,0,977.285,0,977.285
2019,0,0,406.162,0,406.162
2020,0,0,0,439.608,439.608
2021,0,0,0,470.935,470.935
2022,0,0,0,512.387,512.387
2023,0,0,0,406.155,406.155
