"Year","Total Biomass (mt)","Spawning output","Total Biomass 0+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","1-SPR","Exploitation Rate"
1950,5845.33,9856720000,5845.33,1,4862.51,28,0.0162966,0.00479014871700999
1951,5808.81,9808460000,5808.81,0.995103847933187,4647.68,31,0.0181173,0.00533672129059136
1952,5750.57,9742010000,5750.57,0.988362254380768,4646.48,46,0.0271542,0.00799920703512869
1953,5671.05,9581270000,5671.05,0.972054598284216,4643.52,44,0.0264332,0.0077587042963825
1954,5602.12,9448490000,5602.12,0.958583585614687,4640.98,26,0.0158978,0.00464110015494134
1955,5564.61,9381370000,5564.61,0.951774018131792,4639.64,37,0.0226476,0.0066491631938267
1956,5527.7,9317690000,5527.7,0.945313451127759,4638.33,1,0.000621688,0.000180907068039148
1957,5535.34,9335260000,5535.34,0.947095991364267,4638.57,28,0.0171988,0.0050584065296802
1958,5518.92,9306680000,5518.92,0.944196446688148,4637.85,24,0.0147952,0.0043486769150486
1959,5510.02,9291510000,5510.02,0.942657395157821,4637.31,32,0.0196996,0.00580760142431425
1960,5495.73,9267020000,5495.73,0.940172795818487,4636.46,17,0.010536,0.00309331062479416
1961,5499.27,9274940000,5499.27,0.940976308548888,4636.06,37,0.0227604,0.00672816573836164
1962,5484.01,9247820000,5484.01,0.93822488616903,4634.68,17,0.0105513,0.00309992140787489
1963,5490.56,9260890000,5490.56,0.939550885081447,4633.66,24,0.0148379,0.00437113882736916
1964,5489.72,9259790000,5489.72,0.939439286091113,4631.69,29,0.0179042,0.00528260093410957
1965,5483.65,9249120000,5483.65,0.938356775884879,4628.54,24,0.0148582,0.00437664694136205
1966,5482.67,9248250000,5482.67,0.938268511228888,4624.1,22,0.0136296,0.00401264347480333
1967,5482.88,9249720000,5482.88,0.938417648061424,4617.45,41,0.0252523,0.00747782187463523
1968,5463.27,9215440000,5463.27,0.934939817708122,4606.72,46,0.0284022,0.00841986575805333
1969,5439.74,9175860000,5439.74,0.930924283128668,4590.95,45,0.0279149,0.00827245419817859
1970,5418.38,9142160000,5418.38,0.927505295879359,4568.41,38,0.0237105,0.00701316629693746
1971,5403.11,9121030000,5403.11,0.925361580728681,4536.27,62,0.0384973,0.0114748728047365
1972,5360.61,9051720000,5360.61,0.918329829801394,4488.76,100,0.0618818,0.0186545934138093
1973,5278.11,8913900000,5278.11,0.904347490848883,4416.33,159,0.0981528,0.0301244195365386
1974,5137.94,8679120000,5137.94,0.880528208166611,4309.51,165,0.104419,0.032114037921813
1975,4995.01,8449580000,4995.01,0.857240542492837,4167.88,47,0.0317691,0.00940939057179065
1976,4961.07,8426570000,4961.07,0.854906094522316,3980.59,19,0.0130199,0.00382981897050435
1977,4919.07,8387940000,4919.07,0.850986940889058,3747.38,10,0.00694935,0.00203290459375451
1978,4833.63,8266110000,4833.63,0.838626845441486,3484.53,14,0.00996161,0.00289637394670258
1979,4689.86,8029810000,4689.86,0.814653353245299,3259.89,34,0.025031,0.00724968335941798
1980,4509.22,7670140000,4509.22,0.778163527015072,3578.04,12,0.0094204,0.00266121413459534
1981,4452,7365620000,4452,0.747268868345657,4840.72,14.84314,0.0117643,0.00333403863432165
1982,4541.02,7393950000,4541.02,0.750143049614882,3981.66,236.07,0.156035,0.0519861176563856
1983,4505.77,7470300000,4505.77,0.757889034080303,5399.61,119.609,0.0849882,0.026545740239737
