"Year","Spawning output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2014,8010130000,5912713741.22415,10107546258.7758,0.812657,0.629060705686984,0.996253294313016
2015,7269060000,5504651422.01743,9033468577.98257,0.737472,0.584532286354769,0.890411713645231
2016,6867530000,5164919086.44998,8570140913.55002,0.696736,0.549065649527205,0.844406350472795
2017,7382470000,5454441668.62404,9310498331.37596,0.748979,0.582598833330786,0.915359166669214
2018,7960680000,5851307960.91846,10070052039.0815,0.80764,0.627537341489427,0.987742658510573
2019,7140100000,5088331302.42409,9191868697.57591,0.72439,0.551293624744962,0.897486375255038
2020,8175360000,5994253279.08429,10356466720.9157,0.829421,0.647211380206046,1.01163061979395
2021,9384220000,6927699139.97672,11840740860.0233,0.952064,0.74605022562101,1.15807777437899
2022,8405300000,6165355160.2684,10645244839.7316,0.852748,0.666094553863899,1.0394014461361
2023,8140470000,5958422496.37171,10322517503.6283,0.82588,0.646440397305397,1.0053196026946
2024,9994720000,6905914758.5641,13083525241.4359,1.014,0.74394244246218,1.28405755753782
