"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9"
1950,1.80795,8.35156,12.2374,12.1576,10.0257,7.45694,5.21437,3.50816,2.30241,4.1948
1951,1.72807,8.35152,12.153,12.0738,9.95659,7.40579,5.17937,3.4855,2.28816,4.1712
1952,1.72762,7.98256,12.1435,11.9812,9.88022,7.34901,5.13992,3.45957,2.27178,4.1442
1953,1.72652,7.98049,11.5616,11.925,9.76614,7.2643,5.08113,3.42066,2.24697,4.1032
1954,1.72558,7.9754,11.5623,11.3572,9.72341,7.18267,5.0241,3.38253,2.22233,4.06207
1955,1.72508,7.97105,11.6076,11.4097,9.30269,7.18371,4.9897,3.35886,2.20655,4.03487
1956,1.7246,7.96875,11.5676,11.4211,9.31851,6.85302,4.97632,3.32678,2.18539,3.99774
1957,1.72468,7.9665,11.6734,11.4892,9.41592,6.92915,4.79085,3.34719,2.18286,3.99084
1958,1.72442,7.96691,11.5882,11.5129,9.40554,6.95267,4.81096,3.20124,2.1824,3.96197
1959,1.72422,7.96568,11.6008,11.4406,9.43468,6.95214,4.83215,3.21779,2.08918,3.94704
1960,1.7239,7.96475,11.5745,11.4289,9.35573,6.95906,4.82187,3.22558,2.09601,3.86775
1961,1.72375,7.96329,11.6187,11.448,9.38291,6.92785,4.84516,3.23058,2.1085,3.83542
1962,1.72324,7.9626,11.5558,11.4315,9.34934,6.91178,4.79884,3.23026,2.10184,3.80745
1963,1.72286,7.96023,11.6155,11.4293,9.38496,6.92307,4.81221,3.21514,2.11155,3.80181
1964,1.72212,7.95847,11.5908,11.4674,9.36602,6.9368,4.81149,3.21857,2.09821,3.79923
1965,1.72095,7.95509,11.573,11.428,9.38486,6.91374,4.81486,3.21412,2.09797,3.7845
1966,1.7193,7.94968,11.5832,11.4253,9.36481,6.93666,4.80496,3.22031,2.09753,3.7792
1967,1.71683,7.94206,11.5814,11.4414,9.36759,6.92547,4.82336,3.21528,2.10256,3.77724
1968,1.71284,7.93064,11.5125,11.3825,9.33392,6.89308,4.79215,3.21248,2.08986,3.76402
1969,1.70698,7.9122,11.4802,11.2992,9.2731,6.85893,4.76337,3.18759,2.08547,3.74303
1970,1.6986,7.88512,11.456,11.2699,9.20724,6.81568,4.74076,3.16908,2.06971,3.72772
1971,1.68665,7.84641,11.4376,11.2667,9.20015,6.7796,4.71926,3.15944,2.06107,3.71311
1972,1.66898,7.7912,11.308,11.1761,9.13814,6.73085,4.66477,3.12608,2.04288,3.67872
1973,1.64205,7.7096,11.1109,10.9337,8.96975,6.61586,4.58404,3.05968,2.00231,3.6141
1974,1.60233,7.58521,10.8088,10.5617,8.62704,6.38478,4.43162,2.95912,1.93003,3.49852
1975,1.54968,7.40174,10.6021,10.2433,8.30821,6.1223,4.26421,2.8526,1.86152,3.37285
1976,1.48004,7.15849,10.6988,10.3904,8.33278,6.09625,4.22468,2.83251,1.8494,3.34249
1977,1.39332,6.83681,10.4315,10.5706,8.5213,6.16386,4.24006,2.82767,1.8498,3.33755
1978,1.2956,6.43625,9.98853,10.3332,8.69148,6.31953,4.29788,2.84484,1.85092,3.34178
1979,1.21207,5.98481,9.3913,9.88171,8.48539,6.43754,4.40094,2.88018,1.86003,3.3417
1980,1.33036,5.59898,8.67619,9.23086,8.06226,6.24451,4.45494,2.9314,1.87221,3.3302
1981,1.79984,6.14541,8.1715,8.58539,7.58195,5.97287,4.34967,2.98607,1.91702,3.34961
1982,1.48043,8.3141,8.96297,8.0795,7.04611,5.61252,4.15713,2.91319,1.95122,3.38953
1983,2.00765,6.83863,11.5724,8.38122,6.27021,4.93223,3.6943,2.63358,1.80094,3.25359
1984,1.71824,9.27401,9.74714,11.1372,6.69481,4.51762,3.34154,2.40885,1.6757,3.16661
1985,1.79052,7.93715,13.3547,9.48612,8.9965,4.87774,3.09463,2.20255,1.54902,3.06161
1986,1.85269,8.27101,11.5325,13.1337,7.74353,6.62375,3.37636,2.06104,1.43099,2.94206
1987,1.88704,8.55823,11.5374,10.7926,10.2005,5.4244,4.36231,2.13948,1.27403,2.65286
1988,1.31981,8.71687,12.3189,11.2172,8.70929,7.42433,3.7118,2.87204,1.37408,2.4744
1989,1.24486,6.09665,12.6324,12.0753,9.12638,6.39112,5.12208,2.46383,1.8597,2.45204
1990,1.28545,5.75043,8.68887,12.1349,9.62747,6.56284,4.32086,3.33185,1.56345,2.71037
1991,1.41493,5.93796,8.30605,8.48291,9.83339,7.03652,4.50954,2.85659,2.14876,2.71424
1992,0.961499,6.53606,8.42679,7.93677,6.72747,7.03377,4.73192,2.91776,1.80298,3.04327
1993,1.33913,4.4415,9.3914,8.17466,6.3904,4.88556,4.80226,3.10837,1.86969,3.05983
1994,1.19502,6.18589,6.04915,8.53584,6.16564,4.34724,3.1246,2.95504,1.86584,2.91745
1995,0.884879,5.52023,8.94483,5.91363,6.92617,4.51236,2.99112,2.06848,1.9083,3.0485
1996,0.852909,4.08756,7.8213,8.53032,4.68061,4.94447,3.02848,1.93149,1.30297,3.08009
1997,0.784177,3.93988,5.72014,7.34728,6.65041,3.29127,3.2687,1.92627,1.19842,2.66156
1998,1.12798,3.62238,5.45874,5.30861,5.65875,4.61976,2.14946,2.0539,1.18072,2.31832
1999,0.867761,5.21055,4.9501,4.9817,4.02035,3.86528,2.96671,1.32807,1.23793,2.07149
2000,1.32017,4.00849,6.47807,4.02659,3.36164,2.44688,2.21169,1.63326,0.713226,1.7515
2001,0.670987,6.09834,5.71955,4.61457,2.07058,1.53431,1.04797,0.911071,0.656253,0.968481
2002,1.3811,3.09952,8.58961,3.4649,1.88538,0.745028,0.517568,0.339958,0.288269,0.507943
2003,1.18198,6.37978,4.34172,4.85649,1.2835,0.613014,0.227012,0.151647,0.0971523,0.223977
2004,1.94817,5.45997,8.64914,1.63018,1.0061,0.228824,0.102181,0.0363715,0.0236953,0.0491238
2005,1.92664,8.99928,7.78125,6.06902,0.820555,0.449163,0.0958517,0.0411675,0.0142933,0.0280762
2006,3.20403,8.89984,12.852,5.60414,3.16995,0.380608,0.195513,0.04013,0.0168117,0.0169944
2007,4.74067,14.8005,12.6989,9.15584,2.88221,1.44703,0.163034,0.0805503,0.0161268,0.0135362
2008,2.74587,21.8988,21.2472,9.76203,5.24601,1.47116,0.693383,0.0751449,0.0362147,0.0133429
2009,2.26601,12.6841,31.5256,16.9177,5.87955,2.81951,0.742424,0.336594,0.0355822,0.0238676
2010,5.40611,10.4675,18.311,25.9915,10.7059,3.32581,1.49782,0.379399,0.167786,0.0297938
2011,4.54163,24.9727,14.9818,13.5574,14.1192,5.17151,1.50786,0.653182,0.161384,0.0863637
2012,1.50952,20.9793,35.7386,11.0767,7.3498,6.80604,2.33974,0.656175,0.277258,0.10622
2013,1.41377,6.973,30.2026,28.4632,6.67368,3.95164,3.43594,1.13621,0.310822,0.184631
2014,2.70787,6.5307,10.0315,23.8429,16.9356,3.54196,1.96917,1.64698,0.531254,0.233493
2015,3.88515,12.5086,9.47489,8.80244,16.4844,10.4976,2.06263,1.10318,0.900038,0.423731
2016,3.21931,17.9469,17.8638,6.82439,4.59811,7.64694,4.56991,0.863645,0.450554,0.547449
2017,1.70611,14.8711,25.5545,12.398,3.38195,2.01996,3.15182,1.81161,0.333945,0.382928
2018,2.26072,7.88113,21.431,20.616,7.60759,1.85301,1.03928,1.55991,0.874586,0.343869
2019,3.22931,10.443,11.3727,17.5789,12.9521,4.27114,0.977003,0.527118,0.771749,0.612435
2020,1.27994,14.9173,15.205,10.434,12.9472,8.57099,2.65604,0.584507,0.307622,0.809216
2021,1.45671,5.91246,21.8398,13.973,7.70994,8.61143,5.35868,1.59768,0.342979,0.640098
2022,3.86311,6.72905,8.65617,20.062,10.3191,5.12502,5.38078,3.22149,0.936939,0.566858
2023,1.71489,17.845,9.85011,7.83315,14.5062,6.71343,3.13409,3.16584,1.84894,0.869622
2024,1.80888,7.92168,26.1281,9.11438,5.84437,9.74386,4.23891,1.90393,1.87607,1.63137
1950,18.108,84.0631,123.189,122.39,100.93,75.0708,52.4945,35.3178,23.1791,42.2306
1951,17.308,84.0627,122.34,121.546,100.239,74.5946,52.2113,35.159,23.0904,42.1091
1952,17.3035,80.3489,122.244,120.614,99.4708,74.0307,51.8484,34.9515,22.9766,41.9592
1953,17.2925,80.3281,116.387,120.049,98.3251,73.1993,51.2993,34.6203,22.7915,41.7202
1954,17.283,80.2769,116.393,114.333,97.8946,72.3771,50.7356,34.2606,22.5794,41.4512
1955,17.2781,80.2331,116.849,114.861,93.6559,72.3626,50.3446,33.9848,22.4013,41.2178
1956,17.2732,80.2099,116.446,114.976,93.8171,69.0444,50.2201,33.659,22.1852,40.9014
1957,17.2741,80.1873,117.512,115.661,94.7916,69.7634,48.2706,33.7819,22.0873,40.7163
1958,17.2714,80.1914,116.654,115.9,94.6917,70.0328,48.5053,32.3218,22.0815,40.4151
1959,17.2694,80.179,116.78,115.173,94.9844,70.0254,48.732,32.5008,21.1392,40.2406
1960,17.2662,80.1696,116.516,115.055,94.1909,70.1058,48.6466,32.6079,21.2314,39.4555
1961,17.2647,80.155,116.961,115.246,94.462,69.7717,48.8522,32.6341,21.3478,39.0929
1962,17.2596,80.148,116.327,115.081,94.1274,69.6355,48.4202,32.6602,21.3029,38.861
1963,17.2558,80.1241,116.929,115.059,94.4826,69.7243,48.5242,32.4821,21.382,38.7705
1964,17.2484,80.1065,116.68,115.442,94.2931,69.8696,48.5166,32.5131,21.2438,38.7385
1965,17.2367,80.0724,116.501,115.045,94.4836,69.6451,48.5677,32.4801,21.2486,38.6032
1966,17.2202,80.0179,116.604,115.019,94.281,69.8698,48.4612,32.5421,21.2424,38.5431
1967,17.1954,79.9413,116.586,115.181,94.3086,69.7537,48.6375,32.4818,21.2891,38.5099
