"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9"
1950,2.24311,5.44979,6.81665,6.44586,5.25345,3.91953,2.76495,1.87964,1.24616,2.35713
1951,2.14401,5.44977,6.76965,6.40142,5.21723,3.89251,2.74589,1.86668,1.23756,2.34089
1952,2.14345,5.209,6.76433,6.35232,5.17721,3.86265,2.72482,1.85236,1.22807,2.32293
1953,2.14208,5.20765,6.44024,6.32254,5.11743,3.81805,2.69336,1.83097,1.21389,2.29612
1954,2.14092,5.20433,6.4406,6.0215,5.09504,3.77515,2.6631,1.8104,1.20025,2.27032
1955,2.1403,5.20149,6.46586,6.04931,4.87459,3.77578,2.64519,1.79822,1.19218,2.25505
1956,2.13969,5.19999,6.44356,6.05539,4.88288,3.60192,2.63795,1.78094,1.18072,2.23339
1957,2.1398,5.19852,6.5025,6.09147,4.93393,3.6421,2.54023,1.79283,1.18042,2.2328
1958,2.13947,5.19879,6.45503,6.10405,4.92848,3.65434,2.55054,1.7143,1.17995,2.21654
1959,2.13922,5.19799,6.46203,6.06574,4.94375,3.65407,2.56175,1.72303,1.12943,2.20841
1960,2.13883,5.19738,6.44742,6.05952,4.90238,3.65768,2.55617,1.72697,1.1328,2.16319
1961,2.13865,5.19643,6.47204,6.06961,4.91663,3.64134,2.56876,1.72998,1.13985,2.14593
1962,2.13801,5.19598,6.43697,6.06088,4.89903,3.6328,2.5439,1.7294,1.13586,2.12897
1963,2.13754,5.19443,6.47025,6.05974,4.9177,3.63883,2.55127,1.72167,1.14145,2.12679
1964,2.13663,5.19328,6.45649,6.07992,4.90777,3.64601,2.55083,1.7235,1.13426,2.12548
1965,2.13517,5.19108,6.44657,6.05901,4.91764,3.63387,2.55251,1.72093,1.13398,2.11682
1966,2.13313,5.18754,6.45226,6.05762,4.90714,3.64594,2.54733,1.72432,1.13377,2.11401
1967,2.13006,5.18257,6.45126,6.06616,4.9086,3.64007,2.55714,1.72173,1.1366,2.11323
1968,2.12511,5.17512,6.41287,6.03491,4.89095,3.62295,2.54026,1.71972,1.12922,2.10417
1969,2.11783,5.16309,6.39487,5.99077,4.85908,3.60498,2.52485,1.70603,1.12636,2.09052
1970,2.10744,5.14542,6.38136,5.97522,4.82457,3.58225,2.51286,1.69604,1.11763,2.08053
1971,2.09261,5.12016,6.37116,5.97351,4.82086,3.56332,2.50159,1.69107,1.11311,2.07203
1972,2.07069,5.08413,6.29895,5.92545,4.78836,3.53758,2.4723,1.67261,1.10269,2.05028
1973,2.03728,5.03088,6.18916,5.79698,4.70012,3.47696,2.42875,1.63573,1.07924,2.0084
1974,1.98801,4.94971,6.02088,5.59971,4.52053,3.35523,2.3468,1.57977,1.03761,1.93352
1975,1.92267,4.82999,5.90577,5.43094,4.35346,3.21724,2.25777,1.52184,0.999076,1.85484
1976,1.83627,4.67126,5.95961,5.50892,4.36636,3.20409,2.23881,1.51408,0.995286,1.84266
1977,1.72869,4.46134,5.81072,5.60445,4.46514,3.23976,2.24782,1.51359,0.998277,1.84743
1978,1.60744,4.19996,5.56396,5.47856,4.55432,3.32163,2.27873,1.52362,1.00054,1.85729
1979,1.50381,3.90537,5.23128,5.2392,4.44633,3.38364,2.33333,1.54259,1.00588,1.86265
1980,1.65057,3.65361,4.83294,4.89413,4.22461,3.28207,2.36153,1.56935,1.01183,1.85769
1981,2.23305,4.01018,4.55181,4.5519,3.97293,3.1394,2.30607,1.59902,1.03631,1.87131
1982,1.83676,5.42535,4.9941,4.2842,3.69223,2.95001,2.20406,1.56021,1.05505,1.89556
1983,2.49087,4.46254,6.57912,4.4835,3.29097,2.5931,1.95853,1.41009,0.973448,1.81921
1984,2.13181,6.05174,5.47948,6.05002,3.54194,2.37863,1.77193,1.28969,0.905543,1.77019
1985,2.22148,5.17937,7.49211,5.09108,4.83259,2.5888,1.64368,1.17995,0.837553,1.71294
1986,2.29862,5.39723,6.44842,7.02438,4.10847,3.56922,1.80775,1.10609,0.774366,1.64784
