"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9"
1950,75.3688,47.1059,29.4413,18.4009,11.5006,7.18789,4.49245,2.80779,1.75487,2.92482
1951,72.0391,47.1057,29.2383,18.274,11.4213,7.13858,4.4623,2.78965,1.74401,2.90836
1952,72.0204,45.0246,29.2153,18.1338,11.3337,7.08385,4.42831,2.7689,1.73153,2.88954
1953,71.9745,45.0129,27.8155,18.0488,11.2028,7.0022,4.37766,2.73776,1.71262,2.86095
1954,71.9352,44.9842,27.8171,17.1894,11.1538,6.92351,4.32852,2.70724,1.69384,2.83227
1955,71.9145,44.9597,27.9262,17.2688,10.6712,6.92452,4.29889,2.68829,1.68181,2.8133
1956,71.8942,44.9467,27.8299,17.2862,10.6894,6.60576,4.28735,2.66262,1.66569,2.78742
1957,71.8979,44.934,28.0845,17.3892,10.8011,6.67913,4.12756,2.67895,1.66375,2.78261
1958,71.8867,44.9363,27.8794,17.4251,10.7892,6.70181,4.1449,2.56214,1.6634,2.76248
1959,71.8784,44.9294,27.9096,17.3157,10.8226,6.70129,4.16315,2.57539,1.59235,2.75207
1960,71.8652,44.9241,27.8466,17.298,10.732,6.70797,4.15429,2.58162,1.59756,2.69679
1961,71.8589,44.9159,27.9529,17.3268,10.7632,6.67788,4.17436,2.58563,1.60708,2.67424
1962,71.8375,44.912,27.8014,17.3019,10.7247,6.66239,4.13445,2.58537,1.60201,2.65474
1963,71.8217,44.8986,27.9451,17.2986,10.7656,6.67328,4.14597,2.57326,1.6094,2.65081
1964,71.7912,44.8887,27.8857,17.3562,10.7438,6.68651,4.14535,2.57601,1.59924,2.64901
1965,71.7423,44.8696,27.8429,17.2965,10.7655,6.66428,4.14825,2.57245,1.59905,2.63873
1966,71.6736,44.8391,27.8675,17.2926,10.7425,6.68638,4.13972,2.57741,1.59872,2.63504
1967,71.5705,44.7962,27.8632,17.3169,10.7457,6.67559,4.15558,2.57338,1.60255,2.63367
1968,71.4041,44.7317,27.6973,17.2277,10.707,6.64437,4.12869,2.57113,1.59287,2.62445
1969,71.1597,44.6278,27.6196,17.1017,10.6373,6.61145,4.10389,2.55122,1.58952,2.60982
