"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9"
1950,75.3688,47.1059,29.4413,18.4009,11.5006,7.18789,4.49245,2.80779,1.75487,2.92482
1951,72.0391,47.1057,29.2383,18.274,11.4213,7.13833,4.46147,2.78843,1.74278,2.90466
1952,72.0204,45.0246,29.2153,18.1338,11.3337,7.08357,4.42725,2.76704,1.72941,2.88238
1953,71.9745,45.0129,27.8155,18.0488,11.2028,7.00179,4.37613,2.73509,1.70944,2.84911
1954,71.9352,44.9842,27.8171,17.1894,11.1538,6.92312,4.32696,2.70436,1.69023,2.8171
1955,71.9145,44.9597,27.9262,17.2688,10.6712,6.92428,4.29787,2.68618,1.67887,2.79816
1956,71.8942,44.9467,27.8299,17.2862,10.6893,6.60543,4.2861,2.66036,1.66273,2.77127
1957,71.8979,44.934,28.0845,17.3892,10.8011,6.67912,4.12733,2.67812,1.6623,2.77054
1958,71.8867,44.9363,27.8794,17.4251,10.7892,6.70157,4.14408,2.56082,1.66165,2.75037
1959,71.8784,44.9294,27.9097,17.3157,10.8226,6.70108,4.1623,2.57386,1.5905,2.74028
1960,71.8652,44.9241,27.8466,17.298,10.732,6.70769,4.15323,2.57973,1.59524,2.68416
1961,71.8589,44.9159,27.9529,17.3268,10.7632,6.67773,4.17368,2.58424,1.60517,2.66275
1962,71.8375,44.912,27.8014,17.3019,10.7247,6.66207,4.13329,2.58337,1.59956,2.64171
1963,71.8217,44.8986,27.9451,17.2986,10.7656,6.67312,4.14527,2.57181,1.60742,2.639
1964,71.7912,44.8887,27.8857,17.3562,10.7438,6.6863,4.14455,2.57455,1.59731,2.63738
1965,71.7423,44.8696,27.8429,17.2965,10.7654,6.66402,4.14728,2.57072,1.5969,2.62663
1966,71.6736,44.8391,27.8675,17.2926,10.7425,6.68616,4.13887,2.57577,1.59661,2.62314
1967,71.5705,44.7962,27.8632,17.3169,10.7456,6.6754,4.1548,2.5719,1.60059,2.62217
1968,71.4041,44.7317,27.6973,17.2277,10.707,6.644,4.12738,2.5689,1.5902,2.61093
1969,71.1597,44.6278,27.6196,17.1017,10.6372,6.61104,4.10234,2.54845,1.58617,2.594
1970,70.8104,44.475,27.5613,17.0573,10.5617,6.56936,4.08285,2.53353,1.57387,2.5816
1971,70.3121,44.2566,27.5172,17.0525,10.5536,6.53464,4.06454,2.52611,1.56752,2.57105
1972,69.5758,43.9452,27.2053,16.9153,10.4824,6.48745,4.01695,2.49854,1.55284,2.54406
1973,68.4531,43.485,26.7311,16.5485,10.2893,6.37628,3.9462,2.44344,1.51982,2.49209
1974,66.7974,42.7834,26.0043,15.9854,9.89611,6.15304,3.81305,2.35986,1.46119,2.39918
1975,64.6022,41.7485,25.5071,15.5036,9.53037,5.89999,3.6684,2.27332,1.40693,2.30156
1976,61.6992,40.3765,25.7397,15.7262,9.5586,5.87586,3.63758,2.26172,1.40159,2.28645
1977,58.0843,38.5621,25.0966,15.9989,9.77485,5.94129,3.65223,2.26099,1.4058,2.29236
1978,54.0103,36.3028,24.0309,15.6395,9.97007,6.09142,3.70245,2.27597,1.40899,2.3046
1979,50.5284,33.7565,22.594,14.9562,9.73367,6.20513,3.79116,2.30432,1.41651,2.31125
1980,55.4597,31.5803,20.8736,13.9712,9.24829,6.01888,3.83699,2.34429,1.42489,2.30509
1981,75.0311,34.6624,19.6594,12.9942,8.69732,5.75724,3.74687,2.3886,1.45936,2.32199
1982,61.7157,46.8946,21.5697,12.23,8.08283,5.40992,3.58112,2.33063,1.48576,2.35208
1983,83.6939,38.5724,28.4154,12.799,7.20442,4.75539,3.1822,2.10638,1.37084,2.25735
1984,71.6293,52.3089,23.666,17.2709,7.75383,4.36208,2.879,1.92653,1.27521,2.19652
1985,74.6422,44.7685,32.3586,14.5334,10.5792,4.74751,2.67062,1.7626,1.17947,2.12548
1986,77.2342,46.6516,27.8509,20.0523,8.99405,6.54547,2.93721,1.65226,1.09049,2.0447
1987,78.6659,48.2716,28.4151,16.5605,11.8242,5.2958,3.85316,1.72899,0.972591,1.84549
1988,55.0196,49.1664,29.8887,17.4422,10.1349,7.2325,3.23901,2.35663,1.05746,1.72355
1989,51.8951,34.3874,30.5537,18.4728,10.7598,6.24996,4.4599,1.9973,1.45319,1.71488
1990,53.5875,32.4345,21.1795,18.567,11.1734,6.50283,3.77677,2.69499,1.20691,1.91435
1991,58.9851,33.4923,20.1215,13.0464,11.409,6.86283,3.99385,2.31956,1.65516,1.91695
1992,40.0826,36.8658,20.5883,12.1749,7.85071,6.85887,4.12518,2.40059,1.39421,2.14707
1993,55.825,25.0517,22.8083,12.6149,7.4348,4.79137,4.18565,2.51736,1.46494,2.16102
1994,49.8176,34.8907,15.0747,13.2376,7.23013,4.25191,2.7392,2.39275,1.43904,2.07274
1995,36.8884,31.1361,21.6575,9.29619,8.14471,4.44675,2.61489,1.68457,1.4715,2.15968
1996,35.5557,23.0554,19.1238,13.0828,5.58331,4.88683,2.66763,1.56864,1.01054,2.17826
1997,32.6904,22.2224,14.0699,11.4083,7.74312,3.29997,2.88769,1.57627,0.926877,1.88419
1998,47.0229,20.4316,13.4916,8.30896,6.67267,4.52138,1.92642,1.68565,0.920113,1.64089
